"TIME","GEO","AGE","SEX","Value","Flag and Footnotes"
"1990","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","474.903.578",""
"1991","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","476.502.163",""
"1992","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","477.790.471",""
"1993","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","479.447.993",""
"1994","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","480.670.776",""
"1995","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","481.646.623",""
"1996","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","482.524.990",""
"1997","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","483.335.550",""
"1998","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","485.665.430","b"
"1999","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","486.408.564",""
"2000","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","487.250.415",""
"2001","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","488.674.955","b"
"2002","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","489.603.926",""
"2003","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","491.384.248",""
"2004","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","493.305.896",""
"2005","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","495.398.278",""
"2006","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","497.295.901",""
"2007","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","499.118.991","b"
"2008","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","501.194.339",""
"2009","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","503.030.557",""
"2010","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","504.288.181",""
"2011","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","505.946.571","b"
"2012","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","507.164.285","b"
"2013","Espace économique européen (EEE) (UE-27 plus IS, LI, NO)","Total","Total","508.310.401","p"
"1960","Association Européenne de Libre Echange (AELE)","Total","Total","9.053.336",""
"1961","Association Européenne de Libre Echange (AELE)","Total","Total","9.148.844",""
"1962","Association Européenne de Libre Echange (AELE)","Total","Total","9.331.154",""
"1963","Association Européenne de Libre Echange (AELE)","Total","Total","9.493.953",""
"1964","Association Européenne de Libre Echange (AELE)","Total","Total","9.635.106",""
"1965","Association Européenne de Libre Echange (AELE)","Total","Total","9.747.502",""
"1966","Association Européenne de Libre Echange (AELE)","Total","Total","9.834.737",""
"1967","Association Européenne de Libre Echange (AELE)","Total","Total","9.937.651",""
"1968","Association Européenne de Libre Echange (AELE)","Total","Total","10.052.847",""
"1969","Association Européenne de Libre Echange (AELE)","Total","Total","10.160.198",""
"1970","Association Européenne de Libre Echange (AELE)","Total","Total","10.256.893",""
"1971","Association Européenne de Libre Echange (AELE)","Total","Total","10.307.543",""
"1972","Association Européenne de Libre Echange (AELE)","Total","Total","10.380.728",""
"1973","Association Européenne de Libre Echange (AELE)","Total","Total","10.469.728",""
"1974","Association Européenne de Libre Echange (AELE)","Total","Total","10.536.393",""
"1975","Association Européenne de Libre Echange (AELE)","Total","Total","10.594.250",""
"1976","Association Européenne de Libre Echange (AELE)","Total","Total","10.581.288",""
"1977","Association Européenne de Libre Echange (AELE)","Total","Total","10.564.446",""
"1978","Association Européenne de Libre Echange (AELE)","Total","Total","10.576.794",""
"1979","Association Européenne de Libre Echange (AELE)","Total","Total","10.601.152",""
"1980","Association Européenne de Libre Echange (AELE)","Total","Total","10.635.230",""
"1981","Association Européenne de Libre Echange (AELE)","Total","Total","10.682.125",""
"1982","Association Européenne de Libre Echange (AELE)","Total","Total","10.738.279",""
"1983","Association Européenne de Libre Echange (AELE)","Total","Total","10.794.141",""
"1984","Association Européenne de Libre Echange (AELE)","Total","Total","10.827.114",""
"1985","Association Européenne de Libre Echange (AELE)","Total","Total","10.869.027",""
"1986","Association Européenne de Libre Echange (AELE)","Total","Total","10.913.300",""
"1987","Association Européenne de Libre Echange (AELE)","Total","Total","10.970.490",""
"1988","Association Européenne de Libre Echange (AELE)","Total","Total","11.040.363",""
"1989","Association Européenne de Libre Echange (AELE)","Total","Total","11.120.759",""
"1990","Association Européenne de Libre Echange (AELE)","Total","Total","11.189.203",""
"1991","Association Européenne de Libre Echange (AELE)","Total","Total","11.291.916",""
"1992","Association Européenne de Libre Echange (AELE)","Total","Total","11.405.515",""
"1993","Association Européenne de Libre Echange (AELE)","Total","Total","11.499.380",""
"1994","Association Européenne de Libre Echange (AELE)","Total","Total","11.588.759",""
"1995","Association Européenne de Libre Echange (AELE)","Total","Total","11.665.036",""
"1996","Association Européenne de Libre Echange (AELE)","Total","Total","11.731.192",""
"1997","Association Européenne de Libre Echange (AELE)","Total","Total","11.775.077",""
"1998","Association Européenne de Libre Echange (AELE)","Total","Total","11.817.765",""
"1999","Association Européenne de Libre Echange (AELE)","Total","Total","11.876.593",""
"2000","Association Européenne de Libre Echange (AELE)","Total","Total","11.954.416",""
"2001","Association Européenne de Libre Echange (AELE)","Total","Total","12.023.715",""
"2002","Association Européenne de Libre Echange (AELE)","Total","Total","12.099.819",""
"2003","Association Européenne de Libre Echange (AELE)","Total","Total","12.188.439",""
"2004","Association Européenne de Libre Echange (AELE)","Total","Total","12.266.469",""
"2005","Association Européenne de Libre Echange (AELE)","Total","Total","12.349.642",""
"2006","Association Européenne de Libre Echange (AELE)","Total","Total","12.434.143",""
"2007","Association Européenne de Libre Echange (AELE)","Total","Total","12.532.713",""
"2008","Association Européenne de Libre Echange (AELE)","Total","Total","12.681.480",""
"2009","Association Européenne de Libre Echange (AELE)","Total","Total","12.856.065",""
"2010","Association Européenne de Libre Echange (AELE)","Total","Total","12.997.529",""
"2011","Association Européenne de Libre Echange (AELE)","Total","Total","13.145.040","b"
"2012","Association Européenne de Libre Echange (AELE)","Total","Total","13.296.582",""
"2013","Association Européenne de Libre Echange (AELE)","Total","Total","13.449.030",""
"1960","Islande","Total","Total","173.855",""
"1961","Islande","Total","Total","177.292",""
"1962","Islande","Total","Total","180.765",""
"1963","Islande","Total","Total","183.991",""
"1964","Islande","Total","Total","187.314",""
"1965","Islande","Total","Total","190.652",""
"1966","Islande","Total","Total","193.919",""
"1967","Islande","Total","Total","197.221",""
"1968","Islande","Total","Total","200.281",""
"1969","Islande","Total","Total","202.695",""
"1970","Islande","Total","Total","204.042",""
"1971","Islande","Total","Total","204.834",""
"1972","Islande","Total","Total","207.361",""
"1973","Islande","Total","Total","210.912",""
"1974","Islande","Total","Total","213.722",""
"1975","Islande","Total","Total","216.695",""
"1976","Islande","Total","Total","219.262",""
"1977","Islande","Total","Total","221.046",""
"1978","Islande","Total","Total","222.552",""
"1979","Islande","Total","Total","224.522",""
"1980","Islande","Total","Total","226.948",""
"1981","Islande","Total","Total","229.327",""
"1982","Islande","Total","Total","232.182",""
"1983","Islande","Total","Total","235.537",""
"1984","Islande","Total","Total","238.416",""
"1985","Islande","Total","Total","240.606",""
"1986","Islande","Total","Total","242.203",""
"1987","Islande","Total","Total","244.157",""
"1988","Islande","Total","Total","247.561",""
"1989","Islande","Total","Total","251.919",""
"1990","Islande","Total","Total","253.785",""
"1991","Islande","Total","Total","255.866",""
"1992","Islande","Total","Total","259.727",""
"1993","Islande","Total","Total","262.386",""
"1994","Islande","Total","Total","265.064",""
"1995","Islande","Total","Total","266.978",""
"1996","Islande","Total","Total","267.958",""
"1997","Islande","Total","Total","269.874",""
"1998","Islande","Total","Total","272.381",""
"1999","Islande","Total","Total","275.712",""
"2000","Islande","Total","Total","279.049",""
"2001","Islande","Total","Total","283.361",""
"2002","Islande","Total","Total","286.575",""
"2003","Islande","Total","Total","288.471",""
"2004","Islande","Total","Total","290.570",""
"2005","Islande","Total","Total","293.577",""
"2006","Islande","Total","Total","299.891",""
"2007","Islande","Total","Total","307.672",""
"2008","Islande","Total","Total","315.459",""
"2009","Islande","Total","Total","319.368",""
"2010","Islande","Total","Total","317.630",""
"2011","Islande","Total","Total","318.452",""
"2012","Islande","Total","Total","319.575",""
"2013","Islande","Total","Total","321.857",""
"1960","Liechtenstein","Total","Total","16.274",""
"1961","Liechtenstein","Total","Total","16.628",""
"1962","Liechtenstein","Total","Total","17.125",""
"1963","Liechtenstein","Total","Total","17.761",""
"1964","Liechtenstein","Total","Total","18.425",""
"1965","Liechtenstein","Total","Total","19.085",""
"1966","Liechtenstein","Total","Total","19.304",""
"1967","Liechtenstein","Total","Total","19.916",""
"1968","Liechtenstein","Total","Total","20.433",""
"1969","Liechtenstein","Total","Total","21.237",""
"1970","Liechtenstein","Total","Total","20.930",""
"1971","Liechtenstein","Total","Total","21.350",""
"1972","Liechtenstein","Total","Total","21.850",""
"1973","Liechtenstein","Total","Total","22.414",""
"1974","Liechtenstein","Total","Total","23.156",""
"1975","Liechtenstein","Total","Total","23.745",""
"1976","Liechtenstein","Total","Total","23.947",""
"1977","Liechtenstein","Total","Total","24.169",""
"1978","Liechtenstein","Total","Total","24.715",""
"1979","Liechtenstein","Total","Total","25.340",""
"1980","Liechtenstein","Total","Total","25.809",""
"1981","Liechtenstein","Total","Total","25.215",""
"1982","Liechtenstein","Total","Total","26.130",""
"1983","Liechtenstein","Total","Total","26.380",""
"1984","Liechtenstein","Total","Total","26.512",""
"1985","Liechtenstein","Total","Total","26.680",""
"1986","Liechtenstein","Total","Total","27.076",""
"1987","Liechtenstein","Total","Total","27.399",""
"1988","Liechtenstein","Total","Total","27.714",""
"1989","Liechtenstein","Total","Total","28.181",""
"1990","Liechtenstein","Total","Total","28.452",""
"1991","Liechtenstein","Total","Total","29.032",""
"1992","Liechtenstein","Total","Total","29.386",""
"1993","Liechtenstein","Total","Total","29.868",""
"1994","Liechtenstein","Total","Total","30.310",""
"1995","Liechtenstein","Total","Total","30.629",""
"1996","Liechtenstein","Total","Total","30.923",""
"1997","Liechtenstein","Total","Total","31.143",""
"1998","Liechtenstein","Total","Total","31.320",""
"1999","Liechtenstein","Total","Total","32.015",""
"2000","Liechtenstein","Total","Total","32.426",""
"2001","Liechtenstein","Total","Total","32.863",""
"2002","Liechtenstein","Total","Total","33.525",""
"2003","Liechtenstein","Total","Total","33.863",""
"2004","Liechtenstein","Total","Total","34.294",""
"2005","Liechtenstein","Total","Total","34.600",""
"2006","Liechtenstein","Total","Total","34.905",""
"2007","Liechtenstein","Total","Total","35.168",""
"2008","Liechtenstein","Total","Total","35.356",""
"2009","Liechtenstein","Total","Total","35.589",""
"2010","Liechtenstein","Total","Total","35.894",""
"2011","Liechtenstein","Total","Total","36.149",""
"2012","Liechtenstein","Total","Total","36.475",""
"2013","Liechtenstein","Total","Total","36.838",""
"1960","Norvège","Total","Total","3.567.707",""
"1961","Norvège","Total","Total","3.594.771",""
"1962","Norvège","Total","Total","3.624.829",""
"1963","Norvège","Total","Total","3.653.006",""
"1964","Norvège","Total","Total","3.680.068",""
"1965","Norvège","Total","Total","3.708.609",""
"1966","Norvège","Total","Total","3.737.726",""
"1967","Norvège","Total","Total","3.768.298",""
"1968","Norvège","Total","Total","3.800.780",""
"1969","Norvège","Total","Total","3.832.192",""
"1970","Norvège","Total","Total","3.863.221",""
"1971","Norvège","Total","Total","3.888.305",""
"1972","Norvège","Total","Total","3.917.773",""
"1973","Norvège","Total","Total","3.948.234",""
"1974","Norvège","Total","Total","3.972.990",""
"1975","Norvège","Total","Total","3.997.525",""
"1976","Norvège","Total","Total","4.017.101",""
"1977","Norvège","Total","Total","4.035.202",""
"1978","Norvège","Total","Total","4.051.208",""
"1979","Norvège","Total","Total","4.066.134",""
"1980","Norvège","Total","Total","4.078.900",""
"1981","Norvège","Total","Total","4.092.340",""
"1982","Norvège","Total","Total","4.107.063",""
"1983","Norvège","Total","Total","4.122.511",""
"1984","Norvège","Total","Total","4.134.353",""
"1985","Norvège","Total","Total","4.145.845",""
"1986","Norvège","Total","Total","4.159.187",""
"1987","Norvège","Total","Total","4.175.521",""
"1988","Norvège","Total","Total","4.198.289",""
"1989","Norvège","Total","Total","4.220.686",""
"1990","Norvège","Total","Total","4.233.116",""
"1991","Norvège","Total","Total","4.249.830",""
"1992","Norvège","Total","Total","4.273.634",""
"1993","Norvège","Total","Total","4.299.167",""
"1994","Norvège","Total","Total","4.324.815",""
"1995","Norvège","Total","Total","4.348.410",""
"1996","Norvège","Total","Total","4.369.957",""
"1997","Norvège","Total","Total","4.392.714",""
"1998","Norvège","Total","Total","4.417.599",""
"1999","Norvège","Total","Total","4.445.329",""
"2000","Norvège","Total","Total","4.478.497",""
"2001","Norvège","Total","Total","4.503.436",""
"2002","Norvège","Total","Total","4.524.066",""
"2003","Norvège","Total","Total","4.552.252",""
"2004","Norvège","Total","Total","4.577.457",""
"2005","Norvège","Total","Total","4.606.363",""
"2006","Norvège","Total","Total","4.640.219",""
"2007","Norvège","Total","Total","4.681.134",""
"2008","Norvège","Total","Total","4.737.171",""
"2009","Norvège","Total","Total","4.799.252",""
"2010","Norvège","Total","Total","4.858.199",""
"2011","Norvège","Total","Total","4.920.305",""
"2012","Norvège","Total","Total","4.985.870",""
"2013","Norvège","Total","Total","5.051.275",""
"1960","Suisse","Total","Total","5.295.500",""
"1961","Suisse","Total","Total","5.360.153",""
"1962","Suisse","Total","Total","5.508.435",""
"1963","Suisse","Total","Total","5.639.195",""
"1964","Suisse","Total","Total","5.749.299",""
"1965","Suisse","Total","Total","5.829.156",""
"1966","Suisse","Total","Total","5.883.788",""
"1967","Suisse","Total","Total","5.952.216",""
"1968","Suisse","Total","Total","6.031.353",""
"1969","Suisse","Total","Total","6.104.074",""
"1970","Suisse","Total","Total","6.168.700",""
"1971","Suisse","Total","Total","6.193.054",""
"1972","Suisse","Total","Total","6.233.744",""
"1973","Suisse","Total","Total","6.288.168",""
"1974","Suisse","Total","Total","6.326.525",""
"1975","Suisse","Total","Total","6.356.285",""
"1976","Suisse","Total","Total","6.320.978",""
"1977","Suisse","Total","Total","6.284.029",""
"1978","Suisse","Total","Total","6.278.319",""
"1979","Suisse","Total","Total","6.285.156",""
"1980","Suisse","Total","Total","6.303.573",""
"1981","Suisse","Total","Total","6.335.243",""
"1982","Suisse","Total","Total","6.372.904",""
"1983","Suisse","Total","Total","6.409.713",""
"1984","Suisse","Total","Total","6.427.833",""
"1985","Suisse","Total","Total","6.455.896",""
"1986","Suisse","Total","Total","6.484.834",""
"1987","Suisse","Total","Total","6.523.413",""
"1988","Suisse","Total","Total","6.566.799",""
"1989","Suisse","Total","Total","6.619.973",""
"1990","Suisse","Total","Total","6.673.850",""
"1991","Suisse","Total","Total","6.757.188",""
"1992","Suisse","Total","Total","6.842.768",""
"1993","Suisse","Total","Total","6.907.959",""
"1994","Suisse","Total","Total","6.968.570",""
"1995","Suisse","Total","Total","7.019.019",""
"1996","Suisse","Total","Total","7.062.354",""
"1997","Suisse","Total","Total","7.081.346",""
"1998","Suisse","Total","Total","7.096.465",""
"1999","Suisse","Total","Total","7.123.537",""
"2000","Suisse","Total","Total","7.164.444",""
"2001","Suisse","Total","Total","7.204.055",""
"2002","Suisse","Total","Total","7.255.653",""
"2003","Suisse","Total","Total","7.313.853",""
"2004","Suisse","Total","Total","7.364.148",""
"2005","Suisse","Total","Total","7.415.102",""
"2006","Suisse","Total","Total","7.459.128",""
"2007","Suisse","Total","Total","7.508.739",""
"2008","Suisse","Total","Total","7.593.494",""
"2009","Suisse","Total","Total","7.701.856",""
"2010","Suisse","Total","Total","7.785.806",""
"2011","Suisse","Total","Total","7.870.134","b"
"2012","Suisse","Total","Total","7.954.662",""
"2013","Suisse","Total","Total","8.039.060",""
"1960","Monténégro","Total","Total",":",""
"1961","Monténégro","Total","Total",":",""
"1962","Monténégro","Total","Total",":",""
"1963","Monténégro","Total","Total",":",""
"1964","Monténégro","Total","Total",":",""
"1965","Monténégro","Total","Total",":",""
"1966","Monténégro","Total","Total",":",""
"1967","Monténégro","Total","Total",":",""
"1968","Monténégro","Total","Total",":",""
"1969","Monténégro","Total","Total",":",""
"1970","Monténégro","Total","Total",":",""
"1971","Monténégro","Total","Total",":",""
"1972","Monténégro","Total","Total",":",""
"1973","Monténégro","Total","Total",":",""
"1974","Monténégro","Total","Total",":",""
"1975","Monténégro","Total","Total",":",""
"1976","Monténégro","Total","Total",":",""
"1977","Monténégro","Total","Total",":",""
"1978","Monténégro","Total","Total",":",""
"1979","Monténégro","Total","Total",":",""
"1980","Monténégro","Total","Total",":",""
"1981","Monténégro","Total","Total",":",""
"1982","Monténégro","Total","Total",":",""
"1983","Monténégro","Total","Total",":",""
"1984","Monténégro","Total","Total",":",""
"1985","Monténégro","Total","Total",":",""
"1986","Monténégro","Total","Total",":",""
"1987","Monténégro","Total","Total",":",""
"1988","Monténégro","Total","Total",":",""
"1989","Monténégro","Total","Total",":",""
"1990","Monténégro","Total","Total",":",""
"1991","Monténégro","Total","Total",":",""
"1992","Monténégro","Total","Total",":",""
"1993","Monténégro","Total","Total",":",""
"1994","Monténégro","Total","Total",":",""
"1995","Monténégro","Total","Total",":",""
"1996","Monténégro","Total","Total",":",""
"1997","Monténégro","Total","Total",":",""
"1998","Monténégro","Total","Total",":",""
"1999","Monténégro","Total","Total",":",""
"2000","Monténégro","Total","Total","612.496",""
"2001","Monténégro","Total","Total","614.791",""
"2002","Monténégro","Total","Total","617.085",""
"2003","Monténégro","Total","Total","619.300",""
"2004","Monténégro","Total","Total","621.258",""
"2005","Monténégro","Total","Total","622.978",""
"2006","Monténégro","Total","Total","623.576",""
"2007","Monténégro","Total","Total","624.896",""
"2008","Monténégro","Total","Total","627.508",""
"2009","Monténégro","Total","Total","630.142",""
"2010","Monténégro","Total","Total","616.411","b"
"2011","Monténégro","Total","Total","619.872",""
"2012","Monténégro","Total","Total","621.240",""
"2013","Monténégro","Total","Total","622.777",""
"1960","Ancienne République yougoslave de Macédoine","Total","Total","1.384.451",""
"1961","Ancienne République yougoslave de Macédoine","Total","Total","1.399.403",""
"1962","Ancienne République yougoslave de Macédoine","Total","Total","1.417.200",""
"1963","Ancienne République yougoslave de Macédoine","Total","Total","1.438.342",""
"1964","Ancienne République yougoslave de Macédoine","Total","Total","1.461.522",""
"1965","Ancienne République yougoslave de Macédoine","Total","Total","1.486.469",""
"1966","Ancienne République yougoslave de Macédoine","Total","Total","1.512.988",""
"1967","Ancienne République yougoslave de Macédoine","Total","Total","1.538.694",""
"1968","Ancienne République yougoslave de Macédoine","Total","Total","1.562.211",""
"1969","Ancienne République yougoslave de Macédoine","Total","Total","1.589.217",""
"1970","Ancienne République yougoslave de Macédoine","Total","Total","1.616.769",""
"1971","Ancienne République yougoslave de Macédoine","Total","Total","1.641.353",""
"1972","Ancienne République yougoslave de Macédoine","Total","Total","1.666.798",""
"1973","Ancienne République yougoslave de Macédoine","Total","Total","1.692.113",""
"1974","Ancienne République yougoslave de Macédoine","Total","Total","1.717.090",""
"1975","Ancienne République yougoslave de Macédoine","Total","Total","1.742.780",""
"1976","Ancienne République yougoslave de Macédoine","Total","Total","1.769.890",""
"1977","Ancienne République yougoslave de Macédoine","Total","Total","1.797.145",""
"1978","Ancienne République yougoslave de Macédoine","Total","Total","1.823.151",""
"1979","Ancienne République yougoslave de Macédoine","Total","Total","1.849.388",""
"1980","Ancienne République yougoslave de Macédoine","Total","Total","1.878.067",""
"1981","Ancienne République yougoslave de Macédoine","Total","Total","1.904.570",""
"1982","Ancienne République yougoslave de Macédoine","Total","Total","1.928.856",""
"1983","Ancienne République yougoslave de Macédoine","Total","Total","1.954.972",""
"1984","Ancienne République yougoslave de Macédoine","Total","Total","1.980.139",""
"1985","Ancienne République yougoslave de Macédoine","Total","Total","2.004.709",""
"1986","Ancienne République yougoslave de Macédoine","Total","Total","2.029.175",""
"1987","Ancienne République yougoslave de Macédoine","Total","Total","2.052.953",""
"1988","Ancienne République yougoslave de Macédoine","Total","Total","2.077.056",""
"1989","Ancienne République yougoslave de Macédoine","Total","Total","2.100.246",""
"1990","Ancienne République yougoslave de Macédoine","Total","Total","1.873.109",""
"1991","Ancienne République yougoslave de Macédoine","Total","Total","1.890.872",""
"1992","Ancienne République yougoslave de Macédoine","Total","Total","1.908.941",""
"1993","Ancienne République yougoslave de Macédoine","Total","Total","2.061.000",""
"1994","Ancienne République yougoslave de Macédoine","Total","Total","1.936.741",""
"1995","Ancienne République yougoslave de Macédoine","Total","Total","1.957.265",""
"1996","Ancienne République yougoslave de Macédoine","Total","Total","1.971.687",""
"1997","Ancienne République yougoslave de Macédoine","Total","Total","1.991.398",""
"1998","Ancienne République yougoslave de Macédoine","Total","Total","2.002.340",""
"1999","Ancienne République yougoslave de Macédoine","Total","Total","2.012.705",""
"2000","Ancienne République yougoslave de Macédoine","Total","Total","2.021.578",""
"2001","Ancienne République yougoslave de Macédoine","Total","Total","2.031.112",""
"2002","Ancienne République yougoslave de Macédoine","Total","Total","2.038.651",""
"2003","Ancienne République yougoslave de Macédoine","Total","Total","2.023.654",""
"2004","Ancienne République yougoslave de Macédoine","Total","Total","2.029.892",""
"2005","Ancienne République yougoslave de Macédoine","Total","Total","2.035.196",""
"2006","Ancienne République yougoslave de Macédoine","Total","Total","2.038.514",""
"2007","Ancienne République yougoslave de Macédoine","Total","Total","2.041.941",""
"2008","Ancienne République yougoslave de Macédoine","Total","Total","2.045.177",""
"2009","Ancienne République yougoslave de Macédoine","Total","Total","2.048.619",""
"2010","Ancienne République yougoslave de Macédoine","Total","Total","2.052.722",""
"2011","Ancienne République yougoslave de Macédoine","Total","Total","2.057.284",""
"2012","Ancienne République yougoslave de Macédoine","Total","Total","2.059.794",""
"2013","Ancienne République yougoslave de Macédoine","Total","Total","2.062.294",""
"1960","Serbie","Total","Total",":",""
"1961","Serbie","Total","Total",":",""
"1962","Serbie","Total","Total",":",""
"1963","Serbie","Total","Total",":",""
"1964","Serbie","Total","Total",":",""
"1965","Serbie","Total","Total",":",""
"1966","Serbie","Total","Total",":",""
"1967","Serbie","Total","Total",":",""
"1968","Serbie","Total","Total",":",""
"1969","Serbie","Total","Total",":",""
"1970","Serbie","Total","Total",":",""
"1971","Serbie","Total","Total",":",""
"1972","Serbie","Total","Total",":",""
"1973","Serbie","Total","Total",":",""
"1974","Serbie","Total","Total",":",""
"1975","Serbie","Total","Total",":",""
"1976","Serbie","Total","Total",":",""
"1977","Serbie","Total","Total",":",""
"1978","Serbie","Total","Total",":",""
"1979","Serbie","Total","Total",":",""
"1980","Serbie","Total","Total",":",""
"1981","Serbie","Total","Total",":",""
"1982","Serbie","Total","Total",":",""
"1983","Serbie","Total","Total",":",""
"1984","Serbie","Total","Total",":",""
"1985","Serbie","Total","Total",":",""
"1986","Serbie","Total","Total",":",""
"1987","Serbie","Total","Total",":",""
"1988","Serbie","Total","Total",":",""
"1989","Serbie","Total","Total",":",""
"1990","Serbie","Total","Total",":",""
"1991","Serbie","Total","Total",":",""
"1992","Serbie","Total","Total",":",""
"1993","Serbie","Total","Total",":",""
"1994","Serbie","Total","Total",":",""
"1995","Serbie","Total","Total",":",""
"1996","Serbie","Total","Total",":",""
"1997","Serbie","Total","Total",":",""
"1998","Serbie","Total","Total",":",""
"1999","Serbie","Total","Total","7.552.850",""
"2000","Serbie","Total","Total","7.527.952",""
"2001","Serbie","Total","Total","7.504.739",""
"2002","Serbie","Total","Total","7.502.126",""
"2003","Serbie","Total","Total","7.490.918",""
"2004","Serbie","Total","Total","7.470.263",""
"2005","Serbie","Total","Total","7.456.050",""
"2006","Serbie","Total","Total","7.425.487",""
"2007","Serbie","Total","Total","7.397.651",""
"2008","Serbie","Total","Total","7.365.507",""
"2009","Serbie","Total","Total","7.334.937",""
"2010","Serbie","Total","Total","7.306.677",""
"2011","Serbie","Total","Total","7.251.549","b"
"2012","Serbie","Total","Total","7.216.649",""
"2013","Serbie","Total","Total","7.181.505",""
"1960","Turquie","Total","Total","27.119.962",""
"1961","Turquie","Total","Total","27.755.078",""
"1962","Turquie","Total","Total","28.435.197",""
"1963","Turquie","Total","Total","29.162.545",""
"1964","Turquie","Total","Total","29.939.582",""
"1965","Turquie","Total","Total","30.769.013",""
"1966","Turquie","Total","Total","31.499.416",""
"1967","Turquie","Total","Total","32.273.630",""
"1968","Turquie","Total","Total","33.093.700",""
"1969","Turquie","Total","Total","33.961.875",""
"1970","Turquie","Total","Total","34.880.611",""
"1971","Turquie","Total","Total","35.707.058",""
"1972","Turquie","Total","Total","36.582.215",""
"1973","Turquie","Total","Total","37.508.880",""
"1974","Turquie","Total","Total","38.490.106",""
"1975","Turquie","Total","Total","39.529.218",""
"1976","Turquie","Total","Total","40.281.507",""
"1977","Turquie","Total","Total","41.102.443",""
"1978","Turquie","Total","Total","41.996.129",""
"1979","Turquie","Total","Total","42.967.253",""
"1980","Turquie","Total","Total","44.021.146",""
"1981","Turquie","Total","Total","45.023.450",""
"1982","Turquie","Total","Total","46.085.508",""
"1983","Turquie","Total","Total","47.210.448",""
"1984","Turquie","Total","Total","48.401.689",""
"1985","Turquie","Total","Total","49.662.958",""
"1986","Turquie","Total","Total","50.695.548",""
"1987","Turquie","Total","Total","51.791.212",""
"1988","Turquie","Total","Total","52.953.586",""
"1989","Turquie","Total","Total","54.186.642",""
"1990","Turquie","Total","Total","55.494.711",""
"1991","Turquie","Total","Total","56.714.051",""
"1992","Turquie","Total","Total","57.835.076",""
"1993","Turquie","Total","Total","58.958.565",""
"1994","Turquie","Total","Total","60.079.060",""
"1995","Turquie","Total","Total","61.203.584",""
"1996","Turquie","Total","Total","62.337.617",""
"1997","Turquie","Total","Total","63.484.661",""
"1998","Turquie","Total","Total","64.641.675",""
"1999","Turquie","Total","Total","65.786.563",""
"2000","Turquie","Total","Total","66.889.425",""
"2001","Turquie","Total","Total","67.895.581",""
"2002","Turquie","Total","Total","68.838.069",""
"2003","Turquie","Total","Total","69.770.026",""
"2004","Turquie","Total","Total","70.692.009",""
"2005","Turquie","Total","Total","71.610.009",""
"2006","Turquie","Total","Total","72.519.974",""
"2007","Turquie","Total","Total","69.689.256",""
"2008","Turquie","Total","Total","70.586.256",""
"2009","Turquie","Total","Total","71.517.100",""
"2010","Turquie","Total","Total","72.561.312",""
"2011","Turquie","Total","Total","73.722.988",""
"2012","Turquie","Total","Total","74.724.269",""
"2013","Turquie","Total","Total","75.627.384",""
"1960","Albanie","Total","Total","1.583.800",""
"1961","Albanie","Total","Total","1.633.800",""
"1962","Albanie","Total","Total","1.685.800",""
"1963","Albanie","Total","Total","1.736.838",""
"1964","Albanie","Total","Total","1.788.404",""
"1965","Albanie","Total","Total","1.839.866",""
"1966","Albanie","Total","Total","1.889.715",""
"1967","Albanie","Total","Total","1.939.430",""
"1968","Albanie","Total","Total","1.991.765",""
"1969","Albanie","Total","Total","2.052.778",""
"1970","Albanie","Total","Total","2.110.612",""
"1971","Albanie","Total","Total","2.160.345",""
"1972","Albanie","Total","Total","2.215.361",""
"1973","Albanie","Total","Total","2.270.891",""
"1974","Albanie","Total","Total","2.322.613",""
"1975","Albanie","Total","Total","2.377.635",""
"1976","Albanie","Total","Total","2.432.027",""
"1977","Albanie","Total","Total","2.485.025",""
"1978","Albanie","Total","Total","2.542.066",""
"1979","Albanie","Total","Total","2.590.466",""
"1980","Albanie","Total","Total","2.645.198",""
"1981","Albanie","Total","Total","2.698.795",""
"1982","Albanie","Total","Total","2.753.316",""
"1983","Albanie","Total","Total","2.815.239",""
